Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes,W
Fri Jan 21 2022,7:30p,Miami Heat,,Atlanta Hawks,,,,,
Fri Jan 21 2022,7:30p,Portland Trail Blazers,,Boston Celtics,,,,,
Fri Jan 21 2022,8:00p,Chicago Bulls,,Milwaukee Bucks,,,,,
Fri Jan 21 2022,8:00p,Toronto Raptors,,Washington Wizards,,,,,
Fri Jan 21 2022,8:30p,Brooklyn Nets,,San Antonio Spurs,,,,,
Fri Jan 21 2022,9:00p,Memphis Grizzlies,,Denver Nuggets,,,,,
Fri Jan 21 2022,9:00p,Detroit Pistons,,Utah Jazz,,,,,
Fri Jan 21 2022,10:00p,Houston Rockets,,Golden State Warriors,,,,,
Sat Jan 22 2022,8:00p,Oklahoma City Thunder,,Cleveland Cavaliers,,,,,
Sat Jan 22 2022,8:00p,Sacramento Kings,,Milwaukee Bucks,,,,,
Sat Jan 22 2022,9:00p,Indiana Pacers,,Phoenix Suns,,,,,
Sun Jan 23 2022,1:00p,Los Angeles Clippers,,New York Knicks,,,,,
Sun Jan 23 2022,3:30p,Boston Celtics,,Washington Wizards,,,,,
Sun Jan 23 2022,6:00p,Los Angeles Lakers,,Miami Heat,,,,,
Sun Jan 23 2022,6:00p,Chicago Bulls,,Orlando Magic,,,,,
Sun Jan 23 2022,6:00p,Portland Trail Blazers,,Toronto Raptors,,,,,
Sun Jan 23 2022,7:00p,Atlanta Hawks,,Charlotte Hornets,,,,,
Sun Jan 23 2022,7:00p,Philadelphia 76ers,,San Antonio Spurs,,,,,
Sun Jan 23 2022,7:30p,Memphis Grizzlies,,Dallas Mavericks,,,,,
Sun Jan 23 2022,8:00p,Detroit Pistons,,Denver Nuggets,,,,,
Sun Jan 23 2022,8:00p,Brooklyn Nets,,Minnesota Timberwolves,,,,,
Sun Jan 23 2022,8:30p,Utah Jazz,,Golden State Warriors,,,,,
Mon Jan 24 2022,7:00p,New York Knicks,,Cleveland Cavaliers,,,,,
Mon Jan 24 2022,7:30p,Chicago Bulls,,Atlanta Hawks,,,,,
Mon Jan 24 2022,8:00p,Philadelphia 76ers,,Houston Rockets,,,,,
Mon Jan 24 2022,8:00p,Indiana Pacers,,New Orleans Pelicans,,,,,
Mon Jan 24 2022,9:00p,Utah Jazz,,Phoenix Suns,,,,,
Tue Jan 25 2022,7:00p,Denver Nuggets,,Detroit Pistons,,,,,
Tue Jan 25 2022,7:00p,Charlotte Hornets,,Toronto Raptors,,,,,
Tue Jan 25 2022,7:00p,Los Angeles Clippers,,Washington Wizards,,,,,
Tue Jan 25 2022,7:30p,Sacramento Kings,,Boston Celtics,,,,,
Tue Jan 25 2022,7:30p,Los Angeles Lakers,,Brooklyn Nets,,,,,
Tue Jan 25 2022,8:00p,San Antonio Spurs,,Houston Rockets,,,,,
Tue Jan 25 2022,10:00p,Dallas Mavericks,,Golden State Warriors,,,,,
Tue Jan 25 2022,10:00p,Minnesota Timberwolves,,Portland Trail Blazers,,,,,
Wed Jan 26 2022,7:00p,Milwaukee Bucks,,Cleveland Cavaliers,,,,,
Wed Jan 26 2022,7:00p,Charlotte Hornets,,Indiana Pacers,,,,,
Wed Jan 26 2022,7:00p,Los Angeles Clippers,,Orlando Magic,,,,,
Wed Jan 26 2022,7:30p,Sacramento Kings,,Atlanta Hawks,,,,,
Wed Jan 26 2022,7:30p,Toronto Raptors,,Brooklyn Nets,,,,,
Wed Jan 26 2022,7:30p,New York Knicks,,Miami Heat,,,,,
Wed Jan 26 2022,7:30p,Memphis Grizzlies,,San Antonio Spurs,,,,,
Wed Jan 26 2022,8:00p,Denver Nuggets,,New Orleans Pelicans,,,,,
Wed Jan 26 2022,8:00p,Chicago Bulls,,Oklahoma City Thunder,,,,,
Wed Jan 26 2022,10:00p,Dallas Mavericks,,Portland Trail Blazers,,,,,
Wed Jan 26 2022,10:00p,Phoenix Suns,,Utah Jazz,,,,,
Thu Jan 27 2022,7:30p,Los Angeles Lakers,,Philadelphia 76ers,,,,,
Thu Jan 27 2022,10:00p,Minnesota Timberwolves,,Golden State Warriors,,,,,
Fri Jan 28 2022,7:00p,Los Angeles Lakers,,Charlotte Hornets,,,,,
Fri Jan 28 2022,7:00p,Detroit Pistons,,Orlando Magic,,,,,
Fri Jan 28 2022,7:30p,Boston Celtics,,Atlanta Hawks,,,,,
Fri Jan 28 2022,8:00p,Portland Trail Blazers,,Houston Rockets,,,,,
Fri Jan 28 2022,8:00p,Utah Jazz,,Memphis Grizzlies,,,,,
Fri Jan 28 2022,8:00p,Los Angeles Clippers,,Miami Heat,,,,,
Fri Jan 28 2022,8:00p,Indiana Pacers,,Oklahoma City Thunder,,,,,
Fri Jan 28 2022,8:30p,Chicago Bulls,,San Antonio Spurs,,,,,
Fri Jan 28 2022,9:00p,Minnesota Timberwolves,,Phoenix Suns,,,,,
Fri Jan 28 2022,10:00p,New York Knicks,,Milwaukee Bucks,,,,,
Sat Jan 29 2022,6:00p,Boston Celtics,,New Orleans Pelicans,,,,,
Sat Jan 29 2022,7:00p,Indiana Pacers,,Dallas Mavericks,,,,,
Sat Jan 29 2022,7:30p,Sacramento Kings,,Philadelphia 76ers,,,,,
Sat Jan 29 2022,8:00p,Washington Wizards,,Memphis Grizzlies,,,,,
Sat Jan 29 2022,8:00p,Toronto Raptors,,Miami Heat,,,,,
Sat Jan 29 2022,8:30p,Brooklyn Nets,,Golden State Warriors,,,,,
Sun Jan 30 2022,1:00p,Los Angeles Lakers,,Atlanta Hawks,,,,,
Sun Jan 30 2022,1:00p,Los Angeles Clippers,,Charlotte Hornets,,,,,
Sun Jan 30 2022,3:30p,Portland Trail Blazers,,Chicago Bulls,,,,,
Sun Jan 30 2022,6:00p,Cleveland Cavaliers,,Detroit Pistons,,,,,
Sun Jan 30 2022,7:00p,Denver Nuggets,,Milwaukee Bucks,,,,,
Sun Jan 30 2022,7:00p,Dallas Mavericks,,Orlando Magic,,,,,
Sun Jan 30 2022,8:00p,Utah Jazz,,Minnesota Timberwolves,,,,,
Sun Jan 30 2022,8:00p,San Antonio Spurs,,Phoenix Suns,,,,,
Mon Jan 31 2022,7:00p,New Orleans Pelicans,,Cleveland Cavaliers,,,,,
Mon Jan 31 2022,7:00p,Los Angeles Clippers,,Indiana Pacers,,,,,
Mon Jan 31 2022,7:00p,Memphis Grizzlies,,Philadelphia 76ers,,,,,
Mon Jan 31 2022,7:30p,Miami Heat,,Boston Celtics,,,,,
Mon Jan 31 2022,7:30p,Sacramento Kings,,New York Knicks,,,,,
Mon Jan 31 2022,8:00p,Golden State Warriors,,Houston Rockets,,,,,
Mon Jan 31 2022,8:00p,Portland Trail Blazers,,Oklahoma City Thunder,,,,,
Tue Feb 1 2022,7:00p,New Orleans Pelicans,,Detroit Pistons,,,,,
Tue Feb 1 2022,7:30p,Toronto Raptors,,Atlanta Hawks,,,,,
Tue Feb 1 2022,7:30p,Washington Wizards,,Milwaukee Bucks,,,,,
Tue Feb 1 2022,8:00p,Orlando Magic,,Chicago Bulls,,,,,
Tue Feb 1 2022,8:00p,Denver Nuggets,,Minnesota Timberwolves,,,,,
Tue Feb 1 2022,8:30p,Golden State Warriors,,San Antonio Spurs,,,,,
Tue Feb 1 2022,10:00p,Brooklyn Nets,,Phoenix Suns,,,,,
Wed Feb 2 2022,7:00p,Orlando Magic,,Indiana Pacers,,,,,
Wed Feb 2 2022,7:00p,Washington Wizards,,Philadelphia 76ers,,,,,
Wed Feb 2 2022,7:30p,Charlotte Hornets,,Boston Celtics,,,,,
Wed Feb 2 2022,7:30p,Memphis Grizzlies,,New York Knicks,,,,,
Wed Feb 2 2022,8:00p,Cleveland Cavaliers,,Houston Rockets,,,,,
Wed Feb 2 2022,8:30p,Oklahoma City Thunder,,Dallas Mavericks,,,,,
Wed Feb 2 2022,10:00p,Brooklyn Nets,,Sacramento Kings,,,,,
Wed Feb 2 2022,10:00p,Denver Nuggets,,Utah Jazz,,,,,
Wed Feb 2 2022,10:30p,Portland Trail Blazers,,Los Angeles Lakers,,,,,
Thu Feb 3 2022,7:00p,Minnesota Timberwolves,,Detroit Pistons,,,,,
Thu Feb 3 2022,7:30p,Phoenix Suns,,Atlanta Hawks,,,,,
Thu Feb 3 2022,7:30p,Miami Heat,,Toronto Raptors,,,,,
Thu Feb 3 2022,10:00p,Sacramento Kings,,Golden State Warriors,,,,,
Thu Feb 3 2022,10:00p,Los Angeles Lakers,,Los Angeles Clippers,,,,,
Fri Feb 4 2022,7:00p,Cleveland Cavaliers,,Charlotte Hornets,,,,,
Fri Feb 4 2022,7:00p,Boston Celtics,,Detroit Pistons,,,,,
Fri Feb 4 2022,7:00p,Chicago Bulls,,Indiana Pacers,,,,,
Fri Feb 4 2022,7:30p,Atlanta Hawks,,Toronto Raptors,,,,,
Fri Feb 4 2022,8:30p,Philadelphia 76ers,,Dallas Mavericks,,,,,
Fri Feb 4 2022,8:30p,Houston Rockets,,San Antonio Spurs,,,,,
Fri Feb 4 2022,9:00p,Brooklyn Nets,,Utah Jazz,,,,,
Fri Feb 4 2022,10:00p,New Orleans Pelicans,,Denver Nuggets,,,,,
Fri Feb 4 2022,10:00p,Oklahoma City Thunder,,Portland Trail Blazers,,,,,
Sat Feb 5 2022,5:00p,Memphis Grizzlies,,Orlando Magic,,,,,
Sat Feb 5 2022,7:00p,Miami Heat,,Charlotte Hornets,,,,,
Sat Feb 5 2022,7:00p,Phoenix Suns,,Washington Wizards,,,,,
Sat Feb 5 2022,8:30p,New York Knicks,,Los Angeles Lakers,,,,,
Sat Feb 5 2022,10:00p,Milwaukee Bucks,,Portland Trail Blazers,,,,,
Sat Feb 5 2022,10:00p,Oklahoma City Thunder,,Sacramento Kings,,,,,
Sun Feb 6 2022,3:30p,Philadelphia 76ers,,Chicago Bulls,,,,,
Sun Feb 6 2022,3:30p,Brooklyn Nets,,Denver Nuggets,,,,,
Sun Feb 6 2022,3:30p,Detroit Pistons,,Minnesota Timberwolves,,,,,
Sun Feb 6 2022,6:00p,Indiana Pacers,,Cleveland Cavaliers,,,,,
Sun Feb 6 2022,6:00p,Atlanta Hawks,,Dallas Mavericks,,,,,
Sun Feb 6 2022,6:00p,Boston Celtics,,Orlando Magic,,,,,
Sun Feb 6 2022,7:00p,New Orleans Pelicans,,Houston Rockets,,,,,
Sun Feb 6 2022,9:00p,Milwaukee Bucks,,Los Angeles Clippers,,,,,
Mon Feb 7 2022,7:00p,Toronto Raptors,,Charlotte Hornets,,,,,
Mon Feb 7 2022,7:00p,Miami Heat,,Washington Wizards,,,,,
Mon Feb 7 2022,8:00p,Phoenix Suns,,Chicago Bulls,,,,,
Mon Feb 7 2022,8:00p,Golden State Warriors,,Oklahoma City Thunder,,,,,
Mon Feb 7 2022,9:00p,New York Knicks,,Utah Jazz,,,,,
Tue Feb 8 2022,7:00p,Phoenix Suns,,Philadelphia 76ers,,,,,
Tue Feb 8 2022,7:30p,Indiana Pacers,,Atlanta Hawks,,,,,
Tue Feb 8 2022,7:30p,Boston Celtics,,Brooklyn Nets,,,,,
Tue Feb 8 2022,8:00p,Los Angeles Clippers,,Memphis Grizzlies,,,,,
Tue Feb 8 2022,8:00p,Houston Rockets,,New Orleans Pelicans,,,,,
Tue Feb 8 2022,8:30p,Detroit Pistons,,Dallas Mavericks,,,,,
Tue Feb 8 2022,9:00p,New York Knicks,,Denver Nuggets,,,,,
Tue Feb 8 2022,10:00p,Milwaukee Bucks,,Los Angeles Lakers,,,,,
Tue Feb 8 2022,10:00p,Orlando Magic,,Portland Trail Blazers,,,,,
Tue Feb 8 2022,10:00p,Minnesota Timberwolves,,Sacramento Kings,,,,,
Wed Feb 9 2022,7:00p,San Antonio Spurs,,Cleveland Cavaliers,,,,,
Wed Feb 9 2022,7:30p,Chicago Bulls,,Charlotte Hornets,,,,,
Wed Feb 9 2022,8:00p,Toronto Raptors,,Oklahoma City Thunder,,,,,
Wed Feb 9 2022,10:00p,Los Angeles Lakers,,Portland Trail Blazers,,,,,
Wed Feb 9 2022,10:00p,Minnesota Timberwolves,,Sacramento Kings,,,,,
Wed Feb 9 2022,10:00p,Golden State Warriors,,Utah Jazz,,,,,
Thu Feb 10 2022,7:00p,Memphis Grizzlies,,Detroit Pistons,,,,,
Thu Feb 10 2022,7:00p,Brooklyn Nets,,Washington Wizards,,,,,
Thu Feb 10 2022,7:30p,Miami Heat,,New Orleans Pelicans,,,,,
Thu Feb 10 2022,8:00p,Toronto Raptors,,Houston Rockets,,,,,
Thu Feb 10 2022,8:30p,Los Angeles Clippers,,Dallas Mavericks,,,,,
Thu Feb 10 2022,10:00p,New York Knicks,,Golden State Warriors,,,,,
Thu Feb 10 2022,10:00p,Milwaukee Bucks,,Phoenix Suns,,,,,
Fri Feb 11 2022,7:00p,Charlotte Hornets,,Detroit Pistons,,,,,
Fri Feb 11 2022,7:00p,Cleveland Cavaliers,,Indiana Pacers,,,,,
Fri Feb 11 2022,7:00p,Oklahoma City Thunder,,Philadelphia 76ers,,,,,
Fri Feb 11 2022,7:30p,San Antonio Spurs,,Atlanta Hawks,,,,,
Fri Feb 11 2022,7:30p,Denver Nuggets,,Boston Celtics,,,,,
Fri Feb 11 2022,8:00p,Minnesota Timberwolves,,Chicago Bulls,,,,,
Fri Feb 11 2022,9:00p,Orlando Magic,,Utah Jazz,,,,,
Sat Feb 12 2022,5:00p,New York Knicks,,Portland Trail Blazers,,,,,
Sat Feb 12 2022,7:00p,Memphis Grizzlies,,Charlotte Hornets,,,,,
Sat Feb 12 2022,7:00p,San Antonio Spurs,,New Orleans Pelicans,,,,,
Sat Feb 12 2022,7:00p,Sacramento Kings,,Washington Wizards,,,,,
Sat Feb 12 2022,7:30p,Cleveland Cavaliers,,Philadelphia 76ers,,,,,
Sat Feb 12 2022,7:30p,Denver Nuggets,,Toronto Raptors,,,,,
Sat Feb 12 2022,8:00p,Oklahoma City Thunder,,Chicago Bulls,,,,,
Sat Feb 12 2022,8:00p,Brooklyn Nets,,Miami Heat,,,,,
Sat Feb 12 2022,8:30p,Los Angeles Clippers,,Dallas Mavericks,,,,,
Sat Feb 12 2022,8:30p,Los Angeles Lakers,,Golden State Warriors,,,,,
Sat Feb 12 2022,9:00p,Orlando Magic,,Phoenix Suns,,,,,
Sun Feb 13 2022,2:00p,Atlanta Hawks,,Boston Celtics,,,,,
Sun Feb 13 2022,3:00p,Minnesota Timberwolves,,Indiana Pacers,,,,,
Mon Feb 14 2022,7:00p,Detroit Pistons,,Washington Wizards,,,,,
Mon Feb 14 2022,7:30p,Sacramento Kings,,Brooklyn Nets,,,,,
Mon Feb 14 2022,7:30p,Oklahoma City Thunder,,New York Knicks,,,,,
Mon Feb 14 2022,8:00p,San Antonio Spurs,,Chicago Bulls,,,,,
Mon Feb 14 2022,8:00p,Portland Trail Blazers,,Milwaukee Bucks,,,,,
Mon Feb 14 2022,8:00p,Toronto Raptors,,New Orleans Pelicans,,,,,
Mon Feb 14 2022,9:00p,Orlando Magic,,Denver Nuggets,,,,,
Mon Feb 14 2022,9:00p,Houston Rockets,,Utah Jazz,,,,,
Mon Feb 14 2022,10:30p,Golden State Warriors,,Los Angeles Clippers,,,,,
Tue Feb 15 2022,7:30p,Cleveland Cavaliers,,Atlanta Hawks,,,,,
Tue Feb 15 2022,7:30p,Dallas Mavericks,,Miami Heat,,,,,
Tue Feb 15 2022,7:30p,Boston Celtics,,Philadelphia 76ers,,,,,
Tue Feb 15 2022,8:00p,Indiana Pacers,,Milwaukee Bucks,,,,,
Tue Feb 15 2022,8:00p,Charlotte Hornets,,Minnesota Timberwolves,,,,,
Tue Feb 15 2022,8:00p,Memphis Grizzlies,,New Orleans Pelicans,,,,,
Tue Feb 15 2022,10:00p,Los Angeles Clippers,,Phoenix Suns,,,,,
Wed Feb 16 2022,7:00p,Atlanta Hawks,,Orlando Magic,,,,,
Wed Feb 16 2022,7:30p,Detroit Pistons,,Boston Celtics,,,,,
Wed Feb 16 2022,7:30p,Washington Wizards,,Indiana Pacers,,,,,
Wed Feb 16 2022,7:30p,Brooklyn Nets,,New York Knicks,,,,,
Wed Feb 16 2022,8:00p,Sacramento Kings,,Chicago Bulls,,,,,
Wed Feb 16 2022,8:00p,Portland Trail Blazers,,Memphis Grizzlies,,,,,
Wed Feb 16 2022,8:00p,Toronto Raptors,,Minnesota Timberwolves,,,,,
Wed Feb 16 2022,8:00p,San Antonio Spurs,,Oklahoma City Thunder,,,,,
Wed Feb 16 2022,9:00p,Houston Rockets,,Phoenix Suns,,,,,
Wed Feb 16 2022,10:00p,Denver Nuggets,,Golden State Warriors,,,,,
Wed Feb 16 2022,10:00p,Utah Jazz,,Los Angeles Lakers,,,,,
Thu Feb 17 2022,7:00p,Miami Heat,,Charlotte Hornets,,,,,
Thu Feb 17 2022,8:00p,Dallas Mavericks,,New Orleans Pelicans,,,,,
Thu Feb 17 2022,8:30p,Philadelphia 76ers,,Milwaukee Bucks,,,,,
Thu Feb 17 2022,10:30p,Houston Rockets,,Los Angeles Clippers,,,,,
Thu Feb 24 2022,7:00p,Cleveland Cavaliers,,Detroit Pistons,,,,,
Thu Feb 24 2022,7:30p,Boston Celtics,,Brooklyn Nets,,,,,
Thu Feb 24 2022,8:00p,Atlanta Hawks,,Chicago Bulls,,,,,
Thu Feb 24 2022,8:00p,Memphis Grizzlies,,Minnesota Timberwolves,,,,,
Thu Feb 24 2022,8:00p,Phoenix Suns,,Oklahoma City Thunder,,,,,
Thu Feb 24 2022,10:00p,Golden State Warriors,,Portland Trail Blazers,,,,,
Thu Feb 24 2022,10:00p,Denver Nuggets,,Sacramento Kings,,,,,
Fri Feb 25 2022,7:00p,Toronto Raptors,,Charlotte Hornets,,,,,
Fri Feb 25 2022,7:00p,Oklahoma City Thunder,,Indiana Pacers,,,,,
Fri Feb 25 2022,7:00p,Houston Rockets,,Orlando Magic,,,,,
Fri Feb 25 2022,7:00p,San Antonio Spurs,,Washington Wizards,,,,,
Fri Feb 25 2022,7:30p,Miami Heat,,New York Knicks,,,,,
Fri Feb 25 2022,8:00p,Philadelphia 76ers,,Minnesota Timberwolves,,,,,
Fri Feb 25 2022,9:00p,New Orleans Pelicans,,Phoenix Suns,,,,,
Fri Feb 25 2022,9:00p,Dallas Mavericks,,Utah Jazz,,,,,
Fri Feb 25 2022,10:00p,Los Angeles Clippers,,Los Angeles Lakers,,,,,
Sat Feb 26 2022,12:00p,Boston Celtics,,Detroit Pistons,,,,,
Sat Feb 26 2022,7:30p,Toronto Raptors,,Atlanta Hawks,,,,,
Sat Feb 26 2022,8:00p,Memphis Grizzlies,,Chicago Bulls,,,,,
Sat Feb 26 2022,8:00p,Washington Wizards,,Cleveland Cavaliers,,,,,
Sat Feb 26 2022,8:00p,San Antonio Spurs,,Miami Heat,,,,,
Sat Feb 26 2022,8:30p,Brooklyn Nets,,Milwaukee Bucks,,,,,
Sat Feb 26 2022,9:00p,Sacramento Kings,,Denver Nuggets,,,,,
Sun Feb 27 2022,1:00p,Philadelphia 76ers,,New York Knicks,,,,,
Sun Feb 27 2022,3:30p,Utah Jazz,,Phoenix Suns,,,,,
Sun Feb 27 2022,5:00p,Boston Celtics,,Indiana Pacers,,,,,
Sun Feb 27 2022,7:00p,Detroit Pistons,,Charlotte Hornets,,,,,
Sun Feb 27 2022,7:00p,Los Angeles Clippers,,Houston Rockets,,,,,
Sun Feb 27 2022,7:30p,Dallas Mavericks,,Golden State Warriors,,,,,
Sun Feb 27 2022,9:00p,Denver Nuggets,,Portland Trail Blazers,,,,,
Sun Feb 27 2022,10:00p,New Orleans Pelicans,,Los Angeles Lakers,,,,,
Mon Feb 28 2022,7:00p,Minnesota Timberwolves,,Cleveland Cavaliers,,,,,
Mon Feb 28 2022,7:00p,Indiana Pacers,,Orlando Magic,,,,,
Mon Feb 28 2022,7:30p,Chicago Bulls,,Miami Heat,,,,,
Mon Feb 28 2022,8:00p,San Antonio Spurs,,Memphis Grizzlies,,,,,
Mon Feb 28 2022,8:00p,Charlotte Hornets,,Milwaukee Bucks,,,,,
Mon Feb 28 2022,8:00p,Sacramento Kings,,Oklahoma City Thunder,,,,,
Tue Mar 1 2022,7:00p,Detroit Pistons,,Washington Wizards,,,,,
Tue Mar 1 2022,7:30p,Atlanta Hawks,,Boston Celtics,,,,,
Tue Mar 1 2022,7:30p,Brooklyn Nets,,Toronto Raptors,,,,,
Tue Mar 1 2022,8:00p,Los Angeles Clippers,,Houston Rockets,,,,,
Tue Mar 1 2022,8:00p,Golden State Warriors,,Minnesota Timberwolves,,,,,
Tue Mar 1 2022,10:00p,Dallas Mavericks,,Los Angeles Lakers,,,,,
Wed Mar 2 2022,7:00p,Charlotte Hornets,,Cleveland Cavaliers,,,,,
Wed Mar 2 2022,7:00p,Indiana Pacers,,Orlando Magic,,,,,
Wed Mar 2 2022,7:30p,New York Knicks,,Philadelphia 76ers,,,,,
Wed Mar 2 2022,8:00p,Utah Jazz,,Houston Rockets,,,,,
Wed Mar 2 2022,8:00p,Miami Heat,,Milwaukee Bucks,,,,,
Wed Mar 2 2022,8:00p,Sacramento Kings,,New Orleans Pelicans,,,,,
Wed Mar 2 2022,9:00p,Oklahoma City Thunder,,Denver Nuggets,,,,,
Wed Mar 2 2022,10:00p,Portland Trail Blazers,,Phoenix Suns,,,,,
Thu Mar 3 2022,7:30p,Memphis Grizzlies,,Boston Celtics,,,,,
Thu Mar 3 2022,7:30p,Miami Heat,,Brooklyn Nets,,,,,
Thu Mar 3 2022,7:30p,Detroit Pistons,,Toronto Raptors,,,,,
Thu Mar 3 2022,8:30p,Golden State Warriors,,Dallas Mavericks,,,,,
Thu Mar 3 2022,8:30p,Sacramento Kings,,San Antonio Spurs,,,,,
Thu Mar 3 2022,10:00p,Los Angeles Lakers,,Los Angeles Clippers,,,,,
Fri Mar 4 2022,7:00p,Indiana Pacers,,Detroit Pistons,,,,,
Fri Mar 4 2022,7:00p,Cleveland Cavaliers,,Philadelphia 76ers,,,,,
Fri Mar 4 2022,7:00p,Atlanta Hawks,,Washington Wizards,,,,,
Fri Mar 4 2022,7:30p,Milwaukee Bucks,,Chicago Bulls,,,,,
Fri Mar 4 2022,8:00p,Utah Jazz,,New Orleans Pelicans,,,,,
Fri Mar 4 2022,8:00p,Minnesota Timberwolves,,Oklahoma City Thunder,,,,,
Fri Mar 4 2022,9:00p,Houston Rockets,,Denver Nuggets,,,,,
Fri Mar 4 2022,10:00p,New York Knicks,,Phoenix Suns,,,,,
Sat Mar 5 2022,5:00p,Sacramento Kings,,Dallas Mavericks,,,,,
Sat Mar 5 2022,7:00p,San Antonio Spurs,,Charlotte Hornets,,,,,
Sat Mar 5 2022,8:00p,Orlando Magic,,Memphis Grizzlies,,,,,
Sat Mar 5 2022,8:00p,Philadelphia 76ers,,Miami Heat,,,,,
